Interference and Diffraction Data File Wed, Oct 05, 2022 3:56 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00000	0.01817
0.00000	0.02059
0.00000	0.01753
0.00000	0.01914
0.00000	0.01689
0.00000	0.01930
0.00000	0.01576
0.00000	0.01672
0.00000	0.01785
0.00000	0.01930
0.00000	0.01978
0.00000	0.01785
0.00006	0.02011
0.00006	0.01882
0.00006	0.01930
0.00011	0.01721
0.00011	0.01978
0.00011	0.01882
0.00017	0.01737
0.00017	0.02011
0.00022	0.01640
0.00022	0.01511
0.00022	0.01769
0.00028	0.01705
0.00028	0.01850
0.00028	0.01914
0.00033	0.01801
0.00033	0.01769
0.00033	0.02188
0.00039	0.01785
0.00039	0.01785
0.00039	0.02220
0.00044	0.02011
0.00044	0.01882
0.00050	0.01995
0.00050	0.02301
0.00050	0.02011
0.00056	0.01914
0.00056	0.01962
0.00056	0.02139
0.00061	0.02236
0.00061	0.01753
0.00067	0.01656
0.00067	0.01866
0.00067	0.02156
0.00072	0.02075
0.00072	0.02075
0.00072	0.01705
0.00078	0.02188
0.00078	0.02027
0.00078	0.01962
0.00083	0.02268
0.00083	0.02188
0.00089	0.01689
0.00089	0.02139
0.00089	0.01882
0.00094	0.01946
0.00094	0.02204
0.00100	0.02027
0.00100	0.01930
0.00100	0.01431
0.00106	0.02172
0.00106	0.02075
0.00111	0.01946
0.00111	0.02027
0.00111	0.01978
0.00117	0.02252
0.00117	0.02188
0.00122	0.01866
0.00122	0.02027
0.00122	0.01656
0.00128	0.01801
0.00128	0.01801
0.00128	0.02284
0.00133	0.01962
0.00133	0.01318
0.00139	0.02043
0.00139	0.02204
0.00139	0.02317
0.00144	0.02429
0.00144	0.02107
0.00144	0.02494
0.00150	0.02606
0.00150	0.02510
0.00150	0.02606
0.00156	0.02462
0.00156	0.02510
0.00156	0.02687
0.00161	0.02816
0.00161	0.02671
0.00167	0.02945
0.00167	0.02349
0.00167	0.02703
0.00172	0.02445
0.00172	0.02751
0.00178	0.02848
0.00178	0.02848
0.00178	0.02880
0.00183	0.02912
0.00183	0.02816
0.00189	0.02590
0.00189	0.02816
0.00189	0.02687
0.00194	0.02896
0.00194	0.02880
0.00200	0.02961
0.00200	0.02590
0.00200	0.03009
0.00206	0.02880
0.00206	0.02896
0.00211	0.03041
0.00211	0.02687
0.00211	0.03009
0.00217	0.02816
0.00217	0.02977
0.00217	0.02929
0.00222	0.02494
0.00222	0.02864
0.00228	0.03041
0.00228	0.02526
0.00228	0.03074
0.00233	0.03009
0.00233	0.02784
0.00233	0.02832
0.00239	0.02896
0.00239	0.02623
0.00239	0.02751
0.00244	0.02703
0.00244	0.03090
0.00244	0.02784
0.00250	0.02784
0.00250	0.02719
0.00256	0.02623
0.00256	0.02751
0.00256	0.02639
0.00261	0.02719
0.00261	0.02832
0.00267	0.02462
0.00267	0.02751
0.00267	0.02381
0.00272	0.02880
0.00272	0.02639
0.00278	0.03170
0.00278	0.03090
0.00278	0.03057
0.00283	0.03041
0.00283	0.02719
0.00289	0.03041
0.00289	0.03218
0.00289	0.03041
0.00294	0.03106
0.00294	0.02784
0.00294	0.03106
0.00300	0.03025
0.00300	0.03041
0.00300	0.03428
0.00306	0.03235
0.00306	0.03396
0.00311	0.03396
0.00311	0.03283
0.00311	0.03766
0.00317	0.03428
0.00317	0.03782
0.00317	0.03830
0.00322	0.03669
0.00322	0.03621
0.00322	0.03508
0.00328	0.04153
0.00328	0.03943
0.00333	0.03734
0.00333	0.03927
0.00333	0.03814
0.00339	0.03686
0.00339	0.03847
0.00344	0.03798
0.00344	0.04072
0.00344	0.03863
0.00350	0.04120
0.00350	0.03830
0.00356	0.03991
0.00356	0.03830
0.00356	0.03734
0.00361	0.03396
0.00361	0.03766
0.00367	0.03847
0.00367	0.03412
0.00367	0.03573
0.00372	0.03637
0.00372	0.03718
0.00372	0.03975
0.00378	0.03363
0.00378	0.03605
0.00383	0.03363
0.00383	0.03557
0.00383	0.03428
0.00389	0.03524
0.00389	0.03444
0.00389	0.03154
0.00394	0.03460
0.00394	0.03331
0.00394	0.03235
0.00400	0.03492
0.00400	0.03444
0.00400	0.03283
0.00406	0.03299
0.00406	0.03669
0.00411	0.03686
0.00411	0.03347
0.00411	0.03621
0.00417	0.03798
0.00417	0.03798
0.00422	0.03669
0.00422	0.03444
0.00422	0.03863
0.00428	0.03927
0.00428	0.04297
0.00433	0.04394
0.00433	0.04362
0.00433	0.04571
0.00439	0.04362
0.00439	0.04652
0.00444	0.04539
0.00444	0.04845
0.00444	0.04732
0.00450	0.04958
0.00450	0.04974
0.00456	0.05554
0.00456	0.05425
0.00456	0.05473
0.00461	0.05473
0.00461	0.05489
0.00461	0.05715
0.00467	0.05682
0.00467	0.05924
0.00472	0.05908
0.00472	0.06117
0.00472	0.05892
0.00478	0.05666
0.00478	0.06133
0.00478	0.06568
0.00483	0.05570
0.00483	0.05908
0.00483	0.05988
0.00489	0.05618
0.00489	0.06085
0.00489	0.06021
0.00494	0.06037
0.00494	0.05876
0.00500	0.05892
0.00500	0.05956
0.00500	0.05731
0.00506	0.05473
0.00506	0.05409
0.00511	0.05538
0.00511	0.05731
0.00511	0.05489
0.00517	0.05779
0.00517	0.05280
0.00522	0.05473
0.00522	0.05360
0.00522	0.05489
0.00528	0.04829
0.00528	0.05038
0.00533	0.04813
0.00533	0.04990
0.00533	0.05199
0.00539	0.05071
0.00539	0.05167
0.00544	0.05103
0.00544	0.04942
0.00544	0.04587
0.00550	0.05054
0.00550	0.05103
0.00550	0.05360
0.00556	0.05489
0.00556	0.05296
0.00561	0.05634
0.00561	0.05731
0.00561	0.05811
0.00567	0.06391
0.00567	0.06117
0.00567	0.06198
0.00572	0.06472
0.00572	0.06343
0.00572	0.06633
0.00578	0.06713
0.00578	0.07245
0.00583	0.07373
0.00583	0.07325
0.00583	0.07792
0.00589	0.07985
0.00589	0.08356
0.00594	0.08340
0.00594	0.08501
0.00594	0.08662
0.00600	0.09177
0.00600	0.09177
0.00606	0.09451
0.00606	0.09870
0.00606	0.10256
0.00611	0.10498
0.00611	0.09902
0.00617	0.10111
0.00617	0.10160
0.00617	0.10820
0.00622	0.10659
0.00622	0.10997
0.00628	0.11029
0.00628	0.11239
0.00628	0.11061
0.00633	0.10884
0.00633	0.10659
0.00633	0.10755
0.00639	0.10675
0.00639	0.10417
0.00639	0.11029
0.00644	0.10900
0.00644	0.10482
0.00650	0.10546
0.00650	0.10498
0.00650	0.09757
0.00656	0.09725
0.00656	0.09499
0.00656	0.09451
0.00661	0.09451
0.00661	0.09403
0.00667	0.09789
0.00667	0.09532
0.00672	0.09193
0.00672	0.08839
0.00672	0.08952
0.00678	0.08469
0.00678	0.08871
0.00683	0.09097
0.00683	0.08823
0.00683	0.09773
0.00689	0.09403
0.00689	0.09564
0.00694	0.09338
0.00694	0.09918
0.00694	0.09612
0.00700	0.10192
0.00700	0.10353
0.00706	0.10868
0.00706	0.11239
0.00706	0.12446
0.00711	0.12769
0.00711	0.13461
0.00711	0.13590
0.00717	0.13944
0.00717	0.14347
0.00722	0.14830
0.00722	0.15120
0.00722	0.16408
0.00728	0.17600
0.00728	0.18663
0.00728	0.19855
0.00733	0.20499
0.00733	0.20934
0.00739	0.21062
0.00739	0.21401
0.00739	0.21964
0.00744	0.23092
0.00744	0.24525
0.00744	0.25797
0.00750	0.26957
0.00750	0.27778
0.00756	0.27907
0.00756	0.28116
0.00761	0.27939
0.00761	0.27907
0.00761	0.28519
0.00767	0.29823
0.00767	0.30838
0.00767	0.31305
0.00772	0.31531
0.00772	0.31386
0.00778	0.30983
0.00778	0.30693
0.00783	0.30468
0.00783	0.30419
0.00783	0.30516
0.00789	0.30983
0.00789	0.30935
0.00789	0.31112
0.00794	0.30725
0.00794	0.29743
0.00800	0.29679
0.00800	0.28567
0.00800	0.28889
0.00806	0.28583
0.00806	0.28728
0.00811	0.28535
0.00811	0.28438
0.00811	0.27988
0.00817	0.28471
0.00817	0.28277
0.00817	0.27907
0.00822	0.27939
0.00822	0.28857
0.00828	0.28503
0.00828	0.29276
0.00828	0.30162
0.00833	0.31675
0.00833	0.33205
0.00833	0.34929
0.00839	0.36426
0.00839	0.37699
0.00844	0.38407
0.00844	0.39680
0.00850	0.42127
0.00850	0.46089
0.00850	0.51001
0.00856	0.57298
0.00856	0.63015
0.00861	0.67734
0.00861	0.70101
0.00861	0.71889
0.00867	0.74868
0.00867	0.81085
0.00872	0.90361
0.00872	1.01876
0.00872	1.14003
0.00878	1.24761
0.00878	1.31670
0.00878	1.34907
0.00883	1.36131
0.00883	1.39706
