Interference and Diffraction Data File Wed, Oct 05, 2022 4:05 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00000	0.01576
0.00000	0.01914
0.00000	0.01785
0.00000	0.01705
0.00000	0.01383
0.00000	0.01334
0.00000	0.01898
0.00000	0.01463
0.00000	0.01366
0.00000	0.01511
0.00000	0.01399
0.00000	0.01366
0.00000	0.01624
0.00000	0.01093
0.00000	0.01399
0.00000	0.01479
0.00000	0.01350
0.00000	0.01077
0.00000	0.00754
0.00000	0.01350
0.00000	0.01608
0.00000	0.01189
0.00000	0.01640
0.00000	0.01093
0.00000	0.01044
0.00000	0.01173
0.00000	0.01495
0.00000	0.01044
0.00000	0.01189
0.00000	0.01447
0.00000	0.01205
0.00000	0.01721
-0.00006	0.00932
-0.00006	0.01801
-0.00006	0.01109
-0.00011	0.01093
-0.00011	0.01254
-0.00017	0.01109
-0.00017	0.01270
-0.00017	0.01350
-0.00022	0.01366
-0.00022	0.01270
-0.00022	0.01350
-0.00028	0.01527
-0.00028	0.01479
-0.00033	0.01012
-0.00033	0.01157
-0.00033	0.01060
-0.00039	0.01560
-0.00039	0.01286
-0.00044	0.01141
-0.00044	0.01286
-0.00044	0.01447
-0.00044	0.01431
-0.00044	0.01286
-0.00044	0.01093
-0.00044	0.01415
-0.00044	0.01399
-0.00039	0.01221
-0.00039	0.00932
-0.00033	0.01479
-0.00033	0.01463
-0.00033	0.01189
-0.00028	0.01511
-0.00028	0.01093
-0.00028	0.01495
-0.00022	0.01270
-0.00022	0.01560
-0.00022	0.01495
-0.00017	0.01592
-0.00017	0.01415
-0.00017	0.01656
-0.00017	0.01737
-0.00011	0.01527
-0.00011	0.01366
-0.00011	0.01753
-0.00006	0.01656
-0.00006	0.01656
-0.00006	0.01350
0.00000	0.01366
0.00000	0.01689
0.00000	0.01479
0.00006	0.01656
0.00006	0.01366
0.00006	0.01479
0.00011	0.01608
0.00011	0.01640
0.00017	0.01689
0.00017	0.01656
0.00017	0.01914
0.00022	0.01479
0.00022	0.01463
0.00028	0.01737
0.00028	0.01576
0.00028	0.01270
0.00033	0.01705
0.00033	0.01624
0.00039	0.01624
0.00039	0.01463
0.00039	0.01640
0.00044	0.01914
0.00044	0.01640
0.00044	0.01785
0.00050	0.01850
0.00050	0.01769
0.00056	0.01801
0.00056	0.01415
0.00056	0.01753
0.00061	0.01608
0.00061	0.01479
0.00061	0.01141
0.00067	0.01576
0.00067	0.01608
